,位置,背番号,選手名,打率,試合,打席,打数,安打,二塁打,三塁打,本塁打,塁打,打点,得点,三振,四球,死球,犠打,犠飛,盗塁,盗塁死,併殺打,出塁率,長打率,ＯＰＳ,得点圏,失策,Team
0,捕,27,ジェームズ・マキャン,.234,66,233,214,50,9,0,8,83,31,27,56,13,2,0,4,1,0,3,.279,.388,.667,.245,8,ボルチモア・オリオールズ
1,捕,35,アドリー・ラッチマン,.250,148,638,571,143,21,1,19,223,79,68,103,58,2,0,7,1,0,9,.318,.391,.709,.291,4,ボルチモア・オリオールズ
2,捕,81,ブレーク・ハント,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ボルチモア・オリオールズ
3,内,2,ガーナー・ヘンダーソン,.281,159,719,630,177,31,7,37,333,92,118,159,78,7,0,4,21,4,2,.364,.529,.893,.258,25,ボルチモア・オリオールズ
4,内,3,ホルヘ・マテオ,.229,68,208,192,44,14,2,5,77,18,30,48,10,1,2,3,13,2,3,.267,.401,.668,.222,4,ボルチモア・オリオールズ
5,内,6,ライアン・マウントキャッスル,.271,124,507,473,128,30,2,13,201,63,54,114,27,1,0,6,3,0,13,.308,.425,.733,.288,3,ボルチモア・オリオールズ
6,内,7,ジャクソン・ホリデー,.189,60,208,190,36,4,2,5,59,23,28,69,15,2,0,1,4,0,1,.255,.311,.565,.229,3,ボルチモア・オリオールズ
7,内,11,ジョーダン・ウエストバーグ,.264,107,447,416,110,26,5,18,200,63,57,97,22,7,1,1,6,3,5,.312,.481,.792,.281,7,ボルチモア・オリオールズ
8,内,16,コビー・マヨ,.098,17,46,41,4,0,0,0,4,0,4,22,4,1,0,0,0,0,1,.196,.098,.293,.000,1,ボルチモア・オリオールズ
9,内,26,エマニュエル・リベラ,.238,124,302,265,63,9,2,5,91,29,24,69,26,5,1,5,2,0,7,.312,.343,.656,.211,4,ボルチモア・オリオールズ
10,内,29,ラモン・ウリアス,.254,100,301,272,69,9,2,11,115,37,39,55,23,5,0,1,1,1,0,.322,.423,.745,.294,6,ボルチモア・オリオールズ
11,内,32,ライアン・オハーン,.264,142,494,443,117,21,3,15,189,59,60,69,46,2,0,3,3,1,7,.334,.427,.761,.279,5,ボルチモア・オリオールズ
12,内,73,リバン・ソト,.231,13,16,13,3,1,0,0,4,0,1,3,3,0,0,0,0,0,0,.375,.308,.683,.000,0,ボルチモア・オリオールズ
13,外,13,ヘストン・カースタッド,.253,39,114,99,25,2,0,4,39,14,8,33,10,5,0,0,1,0,0,.351,.394,.745,.269,0,ボルチモア・オリオールズ
14,外,15,オースティン・スレーター,.209,84,212,177,37,4,0,2,47,18,24,60,26,5,0,4,3,2,5,.321,.266,.586,.268,2,ボルチモア・オリオールズ
15,外,17,コルトン・カウザー,.242,153,561,499,121,24,3,24,223,69,77,172,52,7,0,3,9,4,9,.321,.447,.768,.211,1,ボルチモア・オリオールズ
16,外,25,アンソニー・サンタンダー,.235,155,665,595,140,25,2,44,301,102,91,129,58,7,0,5,2,0,9,.308,.506,.814,.234,2,ボルチモア・オリオールズ
17,外,31,セドリク・ムリンス,.234,147,499,444,104,16,3,18,180,54,69,98,41,5,2,2,32,6,1,.305,.405,.710,.234,1,ボルチモア・オリオールズ
18,外,53,ダニエル・ジョンソン,.000,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,ボルチモア・オリオールズ
19,指,72,エロイ・ヒメネス,.238,98,349,324,77,14,0,6,109,23,25,70,22,2,0,1,3,0,13,.289,.336,.626,.192,0,ボルチモア・オリオールズ
